review_id,annotation_id,reason,frame_paths,current_assessment,question,response_status,corrected_element_type,corrected_map_side,corrected_lane_color,corrected_element_team,notes
MR91119257-001,E001,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000000_0000014000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000001_0000015000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000002_0000017500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000003_0000020000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000004_0000021000ms.png,directly_visible,"Is the target Guardian, Walker, base structure, Patron, shop, camp, teleporter, or another element?",,,,,,
MR91119257-001,E001,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000000_0000014000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000001_0000015000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000002_0000017500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000003_0000020000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000004_0000021000ms.png,directly_visible,Does the target belong to Archmother or Hidden King?,,,,,,
MR91119257-001,E001,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000000_0000014000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000001_0000015000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000002_0000017500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000003_0000020000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000004_0000021000ms.png,directly_visible,"Is this the Green, Blue, or Yellow lane?",,,,,,
MR91119257-001,E001,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000000_0000014000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000001_0000015000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000002_0000017500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000003_0000020000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000004_0000021000ms.png,directly_visible,Is the target identity visually confirmed or only inferred from route order?,,,,,,
MR91119257-001,E001,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000000_0000014000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000001_0000015000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000002_0000017500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000003_0000020000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000004_0000021000ms.png,directly_visible,Does the frame independently support the annotation?,,,,,,
MR91119257-001,E001,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000000_0000014000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000001_0000015000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000002_0000017500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000003_0000020000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000004_0000021000ms.png,directly_visible,Does the frame support a side/lane alias?,,,,,,
MR91119257-002,E002,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000005_0000024000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000006_0000025000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000007_0000027500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000008_0000030000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000009_0000031000ms.png,directly_visible,"Is the target Guardian, Walker, base structure, Patron, shop, camp, teleporter, or another element?",,,,,,
MR91119257-002,E002,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000005_0000024000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000006_0000025000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000007_0000027500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000008_0000030000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000009_0000031000ms.png,directly_visible,Does the target belong to Archmother or Hidden King?,,,,,,
MR91119257-002,E002,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000005_0000024000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000006_0000025000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000007_0000027500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000008_0000030000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000009_0000031000ms.png,directly_visible,"Is this the Green, Blue, or Yellow lane?",,,,,,
MR91119257-002,E002,Potentially needed for side/lane alias validation. | This annotation may affect side/lane alias feasibility and should remain in the minimized review packet.,output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000005_0000024000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000006_0000025000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000007_0000027500ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000008_0000030000ms.png | output-local/match_91119257/annotation-frames-opencv/main/frames/frame_000009_0000031000ms.png,directly_visible,Is the target identity visually confirmed or only inferred from route order?,,,,,,
